orbit,weight,global_packings,anchored_packings,both_orientations,reflection_fixed,status
1116,1928570,340,170,0,0,unresolved
1117,1928546,850,432,14,0,unresolved
1118,1928512,232,116,0,0,unresolved
1119,1928499,170,85,0,0,cover_excluded
1120,1928463,186,93,0,0,cover_excluded
1121,1928449,518,259,0,0,unresolved
1122,1928426,880,440,0,0,unresolved
1123,1928421,356,178,0,0,unresolved
1124,1928405,786,393,0,0,unresolved
1125,1928384,48,24,0,0,cover_excluded
1126,1928368,924,462,0,0,unresolved
1127,1928364,1118,559,0,0,unresolved
1128,1928297,56,28,0,0,cover_excluded
1129,1928274,744,372,0,0,unresolved
1130,1928269,276,138,0,0,unresolved
1131,1928268,760,380,0,0,unresolved
1132,1928263,342,171,0,0,unresolved
1133,1928260,968,497,26,4,unresolved
1134,1928246,546,273,0,0,unresolved
1135,1928191,840,420,0,0,unresolved
1136,1928190,278,139,0,0,unresolved
1137,1928185,736,368,0,0,unresolved
1138,1928167,588,294,0,0,unresolved
1139,1928164,1340,670,0,0,unresolved
1140,1928108,238,119,0,0,unresolved
1141,1928085,453,227,1,1,unresolved
1142,1927960,690,345,0,0,unresolved
1143,1927879,973,497,21,3,unresolved
1144,1927869,359,181,3,1,unresolved
1145,1927848,256,128,0,0,unresolved
1146,1927844,252,126,0,0,unresolved
1147,1927840,367,186,5,1,unresolved
1148,1927799,626,313,0,0,unresolved
1149,1927790,860,430,0,0,unresolved
1150,1927698,348,182,16,2,unresolved
1151,1927691,390,195,0,0,unresolved
1152,1927670,254,127,0,0,unresolved
1153,1927629,391,196,1,1,unresolved
1154,1927604,634,317,0,0,unresolved
1155,1927591,388,194,0,0,unresolved
1156,1927585,310,155,0,0,unresolved
1157,1927575,1528,764,0,0,unresolved
1158,1927526,180,90,0,0,cover_excluded
