word_hex	blocker_count	blockers_zero_based
08224834	4	8,362,815,1123
08227101	4	86,363,1372,1414
08240417	2	66,1434
082404d4	4	66,68,1104,1434
08240b28	3	392,1117,1298
08242834	4	773,1122,1269,1646
08248451	4	66,888,1387,1436
08248492	4	66,164,222,702
082484d0	4	66,164,702,888
0824d041	4	8,474,1401,1449
08252844	4	490,826,854,982
08261282	4	391,1287,1291,1307
0828084b	4	340,1172,1516,1661
08284443	4	183,481,1462,1482
082c1282	4	292,391,1172,1229
082c4841	4	190,865,1039,1401
082d8101	4	279,287,1368,1467
082e1082	2	391,1172
082e1280	1	391
08402b82	4	427,1291,1552,1596
08404711	4	293,1437,1488,1598
0841081e	3	1119,1277,1303
0841401e	2	1277,1303
08414701	3	9,293,339
08414816	2	408,1277
0841481a	4	408,1192,1277,1303
0841481c	4	408,1119,1123,1277
08418192	4	164,430,448,1629
08419811	4	151,165,354,504
0841b011	4	0,165,354,473
0842044d	3	432,1508,1566
08420474	4	1121,1256,1262,1508
08420b82	2	1291,1552
08422382	4	427,432,1291,1596
0842240d	1	432
08422415	3	119,432,1436
08422419	4	0,432,1385,1601
0842241c	4	68,432,1105,1121
0842244c	3	19,432,1623
08422454	3	432,1262,1436
08422464	4	246,432,1256,1508
08422468	4	19,432,1534,1623
08422470	1	432
08422982	4	267,427,432,1291
08422b02	1	1291
08422b80	3	267,432,1291
0842c482	4	107,164,413,432
0842d480	4	107,413,432,1512
0844021b	4	1260,1298,1387,1487
08447204	2	298,497
0844820b	3	23,1033,1298
08448219	3	23,1298,1387
0844822a	4	1033,1183,1196,1298
08464811	4	408,824,850,1039
08480127	4	183,196,1272,1636
08481185	4	1423,1425,1512,1636
08481e08	4	9,27,72,1517
0848e108	3	144,223,1046
084a4811	3	408,758,1039
084b8204	2	220,495
084c4811	4	408,520,616,990
084d2480	3	432,502,1512
084e4011	3	400,467,484
084e4801	3	285,467,1039
08511282	3	426,1252,1628
08644182	3	491,1164,1479
08701414	4	117,394,406,1542
08704242	4	85,483,1033,1516
08712024	3	394,451,1252
08788880	1	1030
