parent	radius	flips	target_kind	target_index
108	1	36,41	base	110
109	1	2,3	base	135
109	1	12,17	base	76
109	1	16,32	base	108
109	1	23,35	base	99
109	1	30,36	base	67
109	1	36,41	base	72
109	1	37,41	base	70
110	1	1,5	base	138
110	1	13,16	base	52
110	1	23,34	base	181
110	1	29,36	base	96
110	1	20,37	base	108
110	1	36,37	base	111
110	1	32,40	base	70
111	1	1,5	base	139
111	1	13,16	base	55
111	1	18,25	base	110
111	1	21,25	base	112
111	1	18,31	base	106
111	1	24,36	base	114
111	1	34,40	base	71
112	1	1,5	base	140
112	1	13,16	base	54
112	1	18,29	base	107
112	1	23,34	base	183
112	1	18,37	base	108
112	1	36,37	base	111
112	1	32,40	base	72
113	1	1,6	base	156
113	1	5,18	base	71
113	1	12,20	base	227
113	1	19,26	base	155
113	1	21,26	base	182
113	1	19,36	base	154
113	1	15,37	base	114
113	4	0,21;22,25;18,31;24,39	base	130
114	1	1,6	base	163
114	1	5,17	base	111
114	1	12,19	base	221
114	1	18,25	base	181
114	1	20,25	base	183
114	1	18,36	base	115
114	1	34,39	base	113
115	1	1,6	base	161
115	1	4,17	base	106
115	1	12,18	base	223
115	1	19,24	base	117
115	1	24,35	base	116
115	1	35,38	base	114
115	1	32,39	base	154
116	1	1,6	base	160
116	1	4,17	base	96
116	1	12,18	base	228
116	1	19,35	base	179
116	1	31,38	base	184
116	1	35,40	base	115
116	1	37,40	base	181
116	4	4,9;3,30;27,34;15,35	base	232
117	1	1,6	base	164
117	1	4,17	base	107
117	1	12,18	base	222
117	1	33,36	base	179
117	1	34,36	base	115
117	1	33,38	base	183
117	1	30,39	base	185
118	1	3,5	base	132
118	1	12,14	base	24
118	1	23,24	base	130
118	1	19,25	base	167
118	1	19,33	base	187
118	1	33,39	base	166
118	4	10,24;0,28;31,37;18,39	base	71
119	1	0,1	base	100
119	1	6,16	base	42
119	1	20,22	base	84
119	1	34,35	base	120
119	1	36,38	base	218
119	1	33,41	base	31
119	1	38,41	base	34
119	4	6,12;3,26;25,32;14,41	base	189
120	1	0,3	base	105
120	1	6,17	base	43
120	1	19,23	base	82
120	1	21,31	base	119
120	1	37,39	base	219
120	1	35,40	base	61
120	1	39,40	base	36
120	4	6,9;1,27;28,33;16,40	base	153
121	1	0,3	base	91
121	1	19,20	base	73
121	1	21,33	base	218
121	1	29,34	base	42
121	1	36,37	base	217
121	1	34,41	base	25
121	1	35,41	base	29
122	1	0,3	base	185
122	1	2,8	base	36
122	1	7,17	base	65
122	1	20,34	base	222
122	1	32,37	base	82
122	1	36,37	base	123
122	1	32,38	base	226
123	1	0,3	base	154
123	1	2,8	base	49
123	1	7,17	base	59
123	1	22,25	base	122
123	1	25,34	base	125
123	1	20,36	base	223
123	1	34,38	base	227
123	4	1,22;21,24;17,37;19,39	base	0
124	1	0,3	base	155
124	1	2,8	base	33
124	1	7,17	base	53
124	1	28,34	base	125
124	1	20,36	base	224
124	1	22,38	base	81
124	1	34,38	base	227
124	4	7,14;4,30;26,35;18,38	base	315
124	4	1,22;21,24;17,37;19,39	base	15
125	1	0,3	base	184
125	1	2,8	base	61
125	1	7,17	base	63
125	1	20,34	base	228
125	1	22,36	base	82
125	1	36,39	base	123
125	1	37,39	base	124
125	4	7,14;4,29;26,33;18,36	base	314
125	4	1,22;21,24;17,35;19,38	base	16
126	1	0,1	base	166
126	1	4,5	base	77
126	1	14,15	base	13
126	1	20,21	base	127
126	1	21,26	base	130
126	1	20,27	base	130
127	1	0,1	base	169
127	1	4,5	base	78
127	1	14,15	base	14
127	1	25,34	base	131
127	1	24,35	base	131
127	1	34,35	base	126
128	1	0,1	base	167
128	1	4,5	base	79
128	1	14,15	base	15
128	1	32,33	base	129
128	1	33,36	base	130
128	1	32,37	base	130
128	4	1,10;3,27;20,37;31,38	base	155
128	4	0,11;2,26;21,36;30,39	base	155
129	1	0,1	base	168
129	1	4,5	base	80
129	1	14,15	base	16
129	1	35,38	base	131
129	1	34,39	base	131
129	1	38,39	base	128
129	4	1,10;3,27;20,35;31,36	base	184
129	4	0,11;2,26;21,34;30,37	base	184
130	1	2,3	base	118
130	1	4,5	base	86
130	1	15,17	base	12
130	1	22,25	base	128
130	1	22,32	base	131
130	1	32,37	base	126
130	4	2,12;0,27;20,37;36,38	base	113
131	1	2,3	base	187
131	1	4,5	base	85
131	1	15,17	base	0
131	1	24,34	base	129
131	1	34,39	base	130
131	1	36,39	base	127
131	4	2,12;0,26;20,36;35,37	base	154
132	1	10,13	base	1
132	1	18,19	base	86
132	1	20,24	base	93
132	1	21,25	base	118
132	1	20,38	base	89
132	1	38,39	base	92
132	4	9,18;1,28;30,37;14,39	base	136
133	1	12,15	base	60
133	1	18,22	base	96
133	1	23,32	base	160
133	1	20,35	complement	40
133	1	34,38	base	134
133	1	35,41	base	142
133	1	36,41	base	138
134	1	12,15	base	44
134	1	18,24	base	66
134	1	23,33	base	159
134	1	20,34	base	133
134	1	21,36	base	90
134	1	36,41	base	141
134	1	37,41	base	87
134	4	13,19;0,21;26,33;14,39	base	94
135	1	9,15	base	217
135	1	20,21	base	109
135	1	17,33	base	91
135	1	22,34	base	101
135	1	35,37	base	90
135	1	36,41	base	87
135	1	37,41	base	137
136	1	10,14	base	28
136	1	19,24	base	137
136	1	22,24	base	87
136	1	18,25	base	71
136	1	22,36	base	141
136	1	23,37	base	156
136	1	17,38	base	139
136	4	0,19;13,20;28,37;16,40	base	132
137	1	10,14	base	26
137	1	18,23	base	72
137	1	21,34	base	88
137	1	22,35	base	104
137	1	17,36	base	140
137	1	21,38	base	135
137	1	37,38	base	136
138	1	10,14	base	29
138	1	17,22	base	110
138	1	21,34	base	162
138	1	33,36	base	133
