record	roots	branches_unsat	base_clauses	source_clauses	source_reported_proof_bytes
813	43	903	232999	251102	1118064
814	43	903	233663	251766	1143545
815	43	903	233998	252101	1188228
816	43	903	233887	251990	1062766
817	43	903	233655	251758	1052967
818	43	903	233486	251589	1123626
819	43	903	233710	251813	1244079
820	43	903	233523	251626	1232361
821	43	903	233557	251660	1138580
822	43	903	233486	251589	1112344
823	43	903	233420	251523	1086740
824	43	903	233958	252061	1142705
825	43	903	233050	251153	1054332
826	43	903	233367	251470	1140426
827	43	903	233810	251913	1182128
828	43	903	233179	251282	1061803
829	43	903	233676	251779	1058174
830	43	903	233406	251509	1296350
831	43	903	233287	251390	1075537
832	43	903	233164	251267	1073502
833	43	903	233365	251468	1046693
834	43	903	233433	251536	1124232
835	43	903	234018	252121	1199483
836	43	903	233472	251575	1123305
837	43	903	233424	251527	1122433
838	43	903	233724	251827	1091646
839	43	903	233721	251824	1182835
840	43	903	233298	251401	1159197
841	43	903	233414	251517	1163181
842	43	903	233450	251553	1238075
843	43	903	233477	251580	1144956
844	43	903	233363	251466	1178692
845	43	903	233583	251686	1135505
846	43	903	233319	251422	1068215
847	43	903	233171	251274	1081045
848	43	903	233506	251609	1127519
849	43	903	233581	251684	1249501
850	43	903	233712	251815	1132913
851	43	903	233612	251715	1191904
852	43	903	234136	252239	1128633
853	43	903	233926	252029	1192104
854	43	903	233466	251569	1078364
855	43	903	233352	251455	1080951
856	43	903	233405	251508	1210588
857	43	903	233556	251659	1129310
858	43	903	233438	251541	1167969
859	43	903	233734	251837	1072509
860	43	903	233474	251577	1065196
861	43	903	233250	251353	1040697
862	43	903	233294	251397	1132700
