source	step	kind	edge_index	value	v0	v1	v2	v3	v4
5	65	ASSIGN	308	1	4	8	9	12	13
5	66	ASSIGN	457	1	4	8	12	13	32
5	67	ASSIGN	362	1	4	9	13	30	41
5	68	ASSIGN	396	1	4	10	13	21	32
5	69	ASSIGN	395	1	5	10	14	31	42
5	70	ASSIGN	428	1	5	11	14	22	33
5	71	ASSIGN	657	0	6	7	8	20	28
5	72	ASSIGN	798	0	6	7	8	28	29
5	73	ASSIGN	459	1	6	12	15	23	34
5	74	ASSIGN	812	0	7	8	9	29	30
5	75	ASSIGN	407	1	7	11	12	15	16
5	76	ASSIGN	825	0	8	9	10	30	31
5	77	ASSIGN	848	0	10	11	12	32	33
5	78	ASSIGN	627	1	11	14	15	19	20
5	79	ASSIGN	650	1	12	15	16	20	21
5	80	ASSIGN	672	1	17	21	22	25	26
5	81	CONFLICT	-1	-1	19	20	21	41	42
6	0	ASSIGN	0	1	0	1	4	38	39
6	1	ASSIGN	19	1	0	3	9	20	35
6	2	ASSIGN	143	1	0	3	9	24	35
6	3	ASSIGN	876	1	0	3	9	35	37
6	4	ASSIGN	21	1	0	3	11	22	37
6	5	ASSIGN	181	1	0	4	9	15	24
6	6	ASSIGN	547	1	0	4	15	19	38
6	7	ASSIGN	20	1	0	4	15	21	32
6	8	ASSIGN	41	1	0	4	38	39	42
6	9	ASSIGN	526	1	0	6	9	15	17
6	10	ASSIGN	598	1	0	6	17	32	38
6	11	ASSIGN	544	1	0	9	15	24	35
6	12	ASSIGN	546	1	0	9	15	26	37
6	13	ASSIGN	597	1	0	9	17	26	37
6	14	ASSIGN	42	1	1	2	5	6	10
6	15	ASSIGN	43	1	1	3	6	9	12
6	16	ASSIGN	274	1	1	4	7	9	12
6	17	ASSIGN	82	1	1	4	7	10	42
6	18	ASSIGN	61	1	1	4	10	21	36
6	19	ASSIGN	182	1	1	4	10	25	36
6	20	ASSIGN	883	1	1	4	10	36	38
6	21	ASSIGN	63	1	1	4	12	23	38
6	22	ASSIGN	342	1	1	5	6	9	10
6	23	ASSIGN	64	1	1	5	9	20	24
6	24	ASSIGN	361	1	1	5	9	20	29
6	25	ASSIGN	62	1	1	5	16	22	33
6	26	ASSIGN	294	1	1	7	10	18	29
6	27	ASSIGN	571	1	1	10	16	25	36
6	28	ASSIGN	573	1	1	10	16	27	38
6	29	ASSIGN	875	1	1	35	36	39	40
6	30	ASSIGN	83	1	2	3	6	40	41
6	31	ASSIGN	84	1	2	4	7	10	13
6	32	ASSIGN	309	1	2	5	8	10	13
6	33	ASSIGN	104	1	2	5	13	24	39
6	34	ASSIGN	105	1	2	6	10	21	25
6	35	ASSIGN	394	1	2	6	10	21	30
6	36	ASSIGN	103	1	2	6	17	23	34
6	37	ASSIGN	295	1	2	7	11	26	30
6	38	ASSIGN	329	1	2	8	11	19	30
6	39	ASSIGN	692	1	2	10	21	36	42
6	40	ASSIGN	882	1	2	36	37	40	41
6	41	ASSIGN	123	1	3	4	7	41	42
6	42	ASSIGN	142	1	3	6	12	23	38
6	43	ASSIGN	144	1	3	6	14	25	40
6	44	ASSIGN	273	1	3	7	8	11	12
6	45	ASSIGN	712	1	3	7	18	22	42
6	46	ASSIGN	330	1	3	8	12	27	31
6	47	ASSIGN	328	1	3	8	12	29	40
6	48	ASSIGN	363	1	3	9	12	20	31
6	49	ASSIGN	517	1	3	9	14	18	35
6	50	ASSIGN	519	1	3	9	14	18	37
6	51	ASSIGN	651	1	3	11	14	20	22
6	52	ASSIGN	813	1	3	12	20	29	31
6	53	ASSIGN	671	1	3	14	20	31	42
6	54	ASSIGN	888	1	3	37	38	41	42
6	55	ASSIGN	308	1	4	8	9	12	13
6	56	ASSIGN	362	1	4	9	13	30	41
6	57	ASSIGN	545	1	4	10	15	19	36
6	58	ASSIGN	498	1	5	8	11	14	16
6	59	ASSIGN	395	1	5	10	14	31	42
6	60	ASSIGN	572	1	5	11	16	20	37
6	61	ASSIGN	714	1	6	14	17	23	25
6	62	ASSIGN	812	0	7	8	9	29	30
6	63	ASSIGN	525	1	7	11	12	15	16
