# orientation_index first_overlap second_overlap
1421 3421 3721
1421 5295 26608
1421 11776 24690
1421 11228 19225
1421 3165 3412
1421 3129 3408
1421 3423 3680
1421 1294 11676
1421 3072 3610
1421 3280 3545
1421 3013 3543
1421 3036 3621
1421 14898 15005
1421 3428 3748
1421 3177 3430
1421 3460 3765
1421 3496 3733
1421 3067 3562
1421 11770 19765
1421 3276 3549
1421 3003 3546
1421 5219 24081
1421 3272 3568
1421 14293 17323
1421 3170 3731
1421 3095 3623
1421 19227 24085
1421 3294 3613
1421 11831 25517
1421 5156 27015
1421 18816 24221
1421 3202 3696
1421 3147 3678
1421 5068 10517
1421 3135 3703
1421 655 19216
1421 3176 3420
1421 3173 3689
1421 3230 3769
1421 3138 3687
1421 3049 3351
1421 24092 26024
1421 3293 3586
1421 2996 3288
1421 3016 3591
1421 3026 3343
1421 3023 3588
1421 38049 43476
1421 14330 14493
1421 13878 14876
1421 11067 24291
1421 3205 3482
1421 2997 3281
1421 3278 3574
1421 3006 3279
1421 14318 14499
1421 14223 15174
1421 3142 3710
1421 4076 25935
1421 1766 23607
1421 13741 14471
1421 37913 38036
1421 13751 17191
1421 814 23761
1421 1654 23595
1421 18687 23543
1421 10739 26058
1421 10692 23606
1421 2078 13786
1421 4662 10658
1421 10690 18670
1421 10660 23610
1422 4524 11605
1422 1172 26572
1422 1222 24695
1422 19775 24631
1422 19772 24731
1422 1157 11267
1422 1110 24683
1422 38167 38319
1422 14332 14966
1422 270 24849
1422 4612 26471
1422 11780 24694
1422 11226 19221
1422 3028 3546
1422 1180 19787
1422 14839 17055
1422 3164 3410
1422 3415 3682
1422 3406 3691
1422 3319 3560
1422 3497 3774
1422 3424 3746
1422 3183 3696
1422 198 10580
1422 3492 3731
1422 3071 3570
1422 11232 24146
1422 3351 3639
1422 3007 3550
1422 11778 19758
1422 1350 24297
1422 640 19247
1422 3338 3616
1422 3016 3540
1422 3070 3619
1422 19223 24083
1422 2997 3556
1422 11827 25514
1422 4118 11746
1422 4211 25524
1422 4130 11809
1422 3225 3728
1422 5085 10590
1422 3402 3676
1422 3210 3749
1422 3217 3504
1422 3220 3777
1422 3026 3317
1422 3006 3302
1422 3162 3681
1422 18848 24283
1422 3142 3685
1422 10555 18262
1422 3156 3476
1422 3000 3296
1422 3022 3341
1422 14281 14437
1422 13786 13949
1422 3160 3451
1422 3158 3721
1422 617 10727
1422 3008 3273
1422 3004 3277
1422 3140 3709
1422 10523 23747
1422 13749 17187
1422 17185 25061
1422 31234 42888
1422 750 11132
1422 3993 11130
1422 4675 23537
1422 1650 23591
1422 18683 23541
1422 10735 26057
1422 10684 18681
1422 2077 13782
1422 698 23703
1422 728 23682
1423 13381 22170
1423 11611 24835
1423 24636 26568
1423 14862 15043
1423 32866 44520
1423 19360 24765
1423 11234 19214
1423 19771 24629
1423 14874 15037
1423 1806 14330
1423 38685 38855
1423 4620 26479
1423 3451 3755
1423 3030 3550
1423 4131 24625
1423 14362 14454
1423 14837 17051
1423 3166 3414
1423 3413 3686
1423 3130 3404
1423 3418 3676
1423 11204 24154
1423 3042 3565
1423 3045 3570
1423 3040 3617
1423 14900 15009
1423 14358 14469
1423 14285 15015
1423 24290 26436
1423 3476 3701
1423 3181 3434
1423 3409 3706
1423 3069 3566
1423 11772 19769
1423 11236 24150
1423 3278 3551
1423 3005 3548
1423 3268 3560
1423 3010 3582
1423 38174 43490
1423 14295 17327
1423 27290 45329
1423 3437 3684
1423 1358 24305
1423 19231 24087
1423 3298 3615
1423 3001 3552
1423 3204 3700
1423 3225 3502
1423 3044 3295
1423 4081 11712
1423 3047 3288
1423 3159 3407
1423 3143 3410
1423 3189 3768
1423 3152 3474
1423 1669 25433
1423 1705 11815
1423 3079 3367
1423 13788 14422
1423 3187 3442
1423 3134 3419
1423 3154 3717
1423 613 10723
1423 12801 41657
1423 3002 3275
1423 39631 45732
1423 3066 3344
1423 4200 18718
1423 3138 3708
1423 18304 23739
1423 1804 14461
1423 792 18266
1423 701 23732
1423 1655 23599
1423 1679 23549
1423 18679 23539
1423 10682 18677
1423 10688 23602
1423 3947 11035
1423 727 23706
1423 3980 11061
1423 35815 45672
1423 10693 18668
1423 10652 23613
1424 11640 26428
1424 19357 24862
1424 181 24793
1424 155 24818
1424 11277 26600
1424 5288 26639
