code	zero	orbit_size	support	triples
371705	0	10080	10	3
371708	0	10080	9	4
372619	1	10080	9	3
372623	0	5040	9	4
372631	1	10080	10	3
372634	1	5040	10	2
372635	0	10080	10	3
372643	1	10080	9	3
372646	1	10080	10	2
372647	0	10080	10	3
372650	0	5040	10	2
372658	1	10080	9	3
372659	0	10080	9	4
372661	1	5040	10	3
372662	0	10080	10	3
372679	1	20160	9	4
372682	1	10080	9	3
372683	0	20160	9	4
372691	1	20160	9	4
372694	1	20160	10	3
372695	0	20160	10	4
372698	0	10080	10	3
372706	1	20160	9	3
372707	0	20160	9	4
372709	1	10080	10	3
372710	0	20160	10	3
372721	1	20160	9	4
372722	0	20160	9	4
372725	0	10080	10	4
376771	1	5040	8	5
376774	1	5040	9	4
376775	0	5040	9	5
376778	0	2520	9	4
376786	1	5040	9	4
376787	0	5040	9	5
376789	1	2520	10	4
376790	0	5040	10	4
376801	1	5040	9	4
376802	0	5040	9	4
376805	0	2520	10	4
376816	1	2520	8	5
376817	0	5040	9	5
378367	1	5040	9	5
378559	1	20160	9	4
378607	1	20160	9	4
378619	1	20160	9	4
378622	1	20160	9	4
378623	0	20160	9	5
378751	1	10080	9	5
378799	1	20160	9	4
378811	1	20160	9	4
378814	1	20160	9	4
378815	0	20160	9	5
378847	1	20160	9	5
378859	1	20160	9	4
378862	1	20160	9	4
378863	0	20160	9	5
378871	1	20160	9	5
378874	1	20160	9	4
378875	0	20160	9	5
378877	1	20160	9	5
378878	0	20160	9	5
379519	1	10080	9	4
379567	1	10080	9	3
379579	1	20160	9	3
379583	0	10080	9	4
379615	1	10080	9	4
379627	1	20160	9	3
379631	0	10080	9	4
379639	1	20160	9	4
379642	1	10080	9	3
379643	0	20160	9	4
379759	1	20160	9	4
379771	1	20160	9	4
379774	1	20160	9	4
379775	0	20160	9	5
379807	1	20160	9	4
379819	1	20160	9	3
379822	1	20160	9	3
379823	0	20160	9	4
379831	1	20160	9	4
379834	1	20160	9	3
379835	0	20160	9	4
379837	1	20160	9	4
379838	0	20160	9	4
379855	1	20160	8	5
379867	1	20160	9	4
379870	1	20160	9	4
379871	0	20160	9	5
379879	1	20160	9	4
379882	1	20160	9	3
379883	0	20160	9	4
379885	1	20160	9	4
379886	0	20160	9	4
379891	1	20160	8	5
379894	1	20160	9	4
379895	0	20160	9	5
379897	1	20160	9	4
379898	0	20160	9	4
379900	1	20160	8	5
379901	0	20160	9	5
380767	1	10080	9	5
380779	1	20160	9	4
380783	0	10080	9	5
380791	1	20160	9	5
380794	1	10080	9	4
380795	0	20160	9	5
380815	1	10080	8	5
380827	1	20160	9	4
380831	0	10080	9	5
380839	1	20160	9	4
380842	1	10080	9	3
380843	0	20160	9	4
380851	1	20160	8	5
380854	1	20160	9	4
380855	0	20160	9	5
380858	0	10080	9	4
380875	1	20160	8	5
380879	0	10080	8	6
380887	1	20160	9	5
380890	1	10080	9	4
380891	0	20160	9	5
380899	1	20160	8	5
380902	1	20160	9	4
380903	0	20160	9	5
380906	0	10080	9	4
380914	1	20160	8	5
380915	0	20160	8	6
380917	1	10080	9	5
380918	0	20160	9	5
382399	1	10080	10	4
382447	1	10080	10	4
382459	1	20160	10	4
382463	0	10080	10	5
382639	1	10080	10	3
382651	1	10080	10	3
382654	1	10080	10	3
382655	0	10080	10	4
382687	1	20160	10	4
382699	1	20160	10	3
382702	1	20160	10	3
382703	0	20160	10	4
382711	1	20160	10	4
382714	1	20160	10	3
382715	0	20160	10	4
382717	1	20160	10	4
382718	0	20160	10	4
382927	1	10080	9	5
382939	1	10080	10	4
382942	1	10080	10	4
382943	0	10080	10	5
382951	1	10080	10	4
382954	1	10080	10	3
382955	0	10080	10	4
382957	1	10080	10	4
382958	0	10080	10	4
382963	1	10080	9	5
382966	1	10080	10	4
382967	0	10080	10	5
382969	1	10080	10	4
382970	0	10080	10	4
382972	1	10080	9	5
382973	0	10080	10	5
383599	1	5040	10	3
383611	1	10080	10	3
383615	0	5040	10	4
383647	1	10080	10	3
383659	1	20160	10	2
383663	0	10080	10	3
383671	1	20160	10	3
383674	1	10080	10	2
383675	0	20160	10	3
383695	1	10080	9	4
383707	1	20160	10	3
383711	0	10080	10	4
383719	1	20160	10	3
383722	1	10080	10	2
383723	0	20160	10	3
383731	1	20160	9	4
383734	1	20160	10	3
383735	0	20160	10	4
383738	0	10080	10	3
383839	1	10080	10	4
383851	1	20160	10	3
383855	0	10080	10	4
383863	1	20160	10	4
