parent	edge_1	edge_2	edge_3	edge_4	edge_5	edge_6	target_kind	target_index
10	10,19	0,28	27,32	14,37	36,37	36,40	base	48
10	10,19	0,28	27,32	14,37	36,37	40,41	base	217
10	10,19	0,28	27,32	14,37	36,40	40,41	base	28
10	10,19	0,28	27,32	23,35	14,37	36,37	base	42
10	10,19	0,28	27,32	23,35	14,37	36,40	base	46
10	10,19	0,28	27,32	23,35	14,37	40,41	base	29
10	10,19	18,19	0,28	27,32	14,37	36,37	base	120
10	10,19	18,19	0,28	27,32	14,37	36,40	base	49
10	10,19	18,19	0,28	27,32	14,37	40,41	base	33
10	10,19	18,19	0,28	27,32	23,35	14,37	base	31
10	10,19	18,19	20,21	0,28	27,32	14,37	base	125
10	10,19	20,21	0,28	27,32	14,37	36,37	base	75
10	10,19	20,21	0,28	27,32	14,37	36,40	base	59
10	10,19	20,21	0,28	27,32	14,37	40,41	base	53
10	10,19	20,21	0,28	27,32	23,35	14,37	base	62
10	11,18	1,29	26,33	15,36	36,37	37,41	base	48
10	11,18	1,29	26,33	15,36	36,37	40,41	base	217
10	11,18	1,29	26,33	15,36	37,41	40,41	base	28
10	11,18	1,29	26,33	22,34	15,36	36,37	base	42
10	11,18	1,29	26,33	22,34	15,36	37,41	base	46
10	11,18	1,29	26,33	22,34	15,36	40,41	base	29
10	11,18	18,19	1,29	26,33	15,36	36,37	base	120
10	11,18	18,19	1,29	26,33	15,36	37,41	base	49
10	11,18	18,19	1,29	26,33	15,36	40,41	base	33
10	11,18	18,19	1,29	26,33	22,34	15,36	base	31
10	11,18	18,19	20,21	1,29	26,33	15,36	base	125
10	11,18	20,21	1,29	26,33	15,36	36,37	base	75
10	11,18	20,21	1,29	26,33	15,36	37,41	base	59
10	11,18	20,21	1,29	26,33	15,36	40,41	base	53
10	11,18	20,21	1,29	26,33	22,34	15,36	base	62
10	2,3	10,19	0,28	27,32	14,37	36,37	base	90
10	2,3	10,19	0,28	27,32	14,37	36,40	base	141
10	2,3	10,19	0,28	27,32	14,37	40,41	base	87
10	2,3	10,19	0,28	27,32	23,35	14,37	base	133
10	2,3	10,19	18,19	0,28	27,32	14,37	base	159
10	2,3	10,19	20,21	0,28	27,32	14,37	base	66
10	2,3	11,18	1,29	26,33	15,36	36,37	base	90
10	2,3	11,18	1,29	26,33	15,36	37,41	base	141
10	2,3	11,18	1,29	26,33	15,36	40,41	base	87
10	2,3	11,18	1,29	26,33	22,34	15,36	base	133
10	2,3	11,18	18,19	1,29	26,33	15,36	base	159
10	2,3	11,18	20,21	1,29	26,33	15,36	base	66
