orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
389,1749,0,18,680,1749,0,0,18,680,0
390,3934,0,15,1236,3934,0,0,15,1236,0
391,2392,0,26,1149,2392,0,0,26,1149,0
392,2345,0,16,810,2345,0,0,16,810,0
393,3113,0,28,1230,3113,0,0,28,1230,0
394,5182,0,37,1574,5182,0,0,37,1574,0
395,2173,0,11,842,2173,0,0,11,842,0
396,1190,0,12,414,1190,0,0,12,414,0
397,7308,0,39,2101,7308,0,0,39,2101,0
398,6106,0,29,1729,6106,0,0,29,1729,0
399,2903,0,23,1009,2903,0,0,23,1009,0
400,5830,0,28,1713,5830,0,0,28,1713,0
401,7593,0,41,2236,7593,0,0,41,2236,0
402,2942,0,26,1227,2942,0,0,26,1227,0
403,4847,0,23,1400,4847,0,0,23,1400,0
404,15042,0,60,3341,15042,0,0,60,3341,0
405,1266,0,3,485,1266,0,0,3,485,0
406,13199,0,49,3577,13199,0,0,49,3577,0
407,8548,0,37,2388,8548,0,0,37,2388,0
408,1553,0,9,590,1553,0,0,9,590,0
409,2356,0,18,790,2356,0,0,18,790,0
410,2665,0,9,804,2665,0,0,9,804,0
411,6282,0,30,1888,6282,0,0,30,1888,0
412,755,0,5,303,755,0,0,5,303,0
413,4105,0,14,1028,4105,0,0,14,1028,0
414,4920,0,30,1597,4920,0,0,30,1597,0
415,1815,0,13,622,1815,0,0,13,622,0
416,2411,0,14,732,2411,0,0,14,732,0
417,5276,0,27,1693,5276,0,0,27,1693,0
418,3243,0,14,936,3243,0,0,14,936,0
419,2868,0,12,738,2868,0,0,12,738,0
420,7885,0,33,1908,7885,0,0,33,1908,0
421,2918,0,23,817,2918,0,0,23,817,0
422,5611,0,13,1315,5611,0,0,13,1315,0
423,10882,0,39,2815,10882,0,0,39,2815,0
424,8258,0,24,1749,8258,0,0,24,1749,0
425,1687,0,13,666,1687,0,0,13,666,0
426,2500,0,8,681,2500,0,0,8,681,0
427,11805,0,26,2953,11805,0,0,26,2953,0
428,1090,0,14,464,1090,0,0,14,464,0
429,3901,0,18,936,3901,0,0,18,936,0
430,5784,0,27,1617,5784,0,0,27,1617,0
431,1247,0,5,347,1247,0,0,5,347,0
432,11260,0,32,2282,11260,0,0,32,2282,0
433,2603,0,6,647,2603,0,0,6,647,0
434,4742,0,15,1077,4742,0,0,15,1077,0
435,601,0,5,254,601,0,0,5,254,0
436,4385,0,19,1220,4385,0,0,19,1220,0
437,1345,0,3,342,1345,0,0,3,342,0
438,1971,0,10,619,1971,0,0,10,619,0
439,2926,0,26,893,2926,0,0,26,893,0
440,13089,0,40,2947,13089,0,0,40,2947,0
441,492,0,1,152,492,0,0,1,152,0
442,3727,0,19,1123,3727,0,0,19,1123,0
443,1681,0,5,423,1681,0,0,5,423,0
444,3215,0,17,873,3215,0,0,17,873,0
445,5585,0,21,1258,5585,0,0,21,1258,0
446,2137,0,3,597,2137,0,0,3,597,0
447,7300,0,33,1768,7300,0,0,33,1768,0
448,1675,0,11,520,1675,0,0,11,520,0
449,791,0,5,235,791,0,0,5,235,0
450,937,0,3,337,937,0,0,3,337,0
451,1458,0,7,378,1458,0,0,7,378,0
452,896,0,5,315,896,0,0,5,315,0
453,1630,0,10,457,1630,0,0,10,457,0
454,433,0,3,177,433,0,0,3,177,0
455,1446,0,5,356,1446,0,0,5,356,0
456,2198,0,6,573,2198,0,0,6,573,0
457,2197,0,8,687,2197,0,0,8,687,0
458,3811,0,6,743,3811,0,0,6,743,0
459,334,0,2,109,334,0,0,2,109,0
460,446,0,5,158,446,0,0,5,158,0
461,4004,0,6,963,4004,0,0,6,963,0
462,3675,0,9,861,3675,0,0,9,861,0
463,1471,0,6,479,1471,0,0,6,479,0
464,1115,0,5,285,1115,0,0,5,285,0
465,3920,0,13,791,3920,0,0,13,791,0
466,4270,0,17,1023,4270,0,0,17,1023,0
