index,cnf_sha256,proof_sha256,proof_bytes
123,ebbeb313c4f39632adca195fccd56c3ed97856e8a8ff8f428d7c5550789d5bf5,6c4edff7e06d4f64611844896e719ae2120676ef4d5c9096685bf6c78823afcb,143014
124,b9f52c8667169905c9154a3cf36e8df9cd13bbc7fc292b86ef8cf84367b4f41a,12a6af7d3ed78ef1dd35e07673392ae0e5756d777e353051318ed6439e4bcf00,120260
125,cf4c24773a519d9130d196ee8320b3d721c05912da5f8d28506ce0b2cafcc750,7df3f525ef973325525ee6dc4b7ac3226b83a1baaf91bc688521049bbf4d9dd6,95192
126,d3b6cea7f609d91dc06264d6d2a4b35ffb1bbf19f36d0ed86483248f01a8786b,96a2aee906c9255a77bcba5734566009a2e90d324cafe98a418ebeeb6b99c800,157600
127,7f79903349994d7dfc5393ea1102860bcb9344b5170806902286180a43438714,2cd2336027828e4fcf41d2ed947dd178b86874110ce64ea721c0e8f331146a9e,147610
128,bc65c40d0d21de3f65e509e66a5153854e2fc3648eb6c36417223f24a48860bb,8b2afcc5bc22cf0ad16c3081798260f22fa594c0b8e38968304c41365237688a,36678
129,811652fc1fc81f0109554df3a0d4aa23d039ff995186c93f81025852d093c497,cc8fba08c70dbb10bcb8e5e7f60449ee3ca7b429212c19599eb267fe2f1a5577,172546
130,32556a8d25ea91b06f058a561979635991b9126c1bb9f66aa2ad42d0680d4c8b,77df5545a433264913275109a424941ffc55aaab8901dc016c7ffdba33edd6ab,237929
131,fcfebcdb0c306911785b404a32b5541a32035c3a27ca736cdf3fbd4f0b4a6994,33ff3e5e846fa96f7611d239d2a8cb0b2bc0b5194f7491a3435de151b8191138,118728
132,b49a822715988dece03bfaf782efef34a17e6ebd6a97d2682ea525f6134ca57a,fb805217dfd74e0a141dfe95a226c7c0c03e2a768cbdcdf2d1142f7425f9fa43,162182
133,90dbc562b7fa357a35d7051a08b11ba57ff0a48d7a59991bc12a7a181b54e90c,ba35169872e909406e29ee3750ac7e4acc437fd4d30982b94a4a412ff80963a7,79236
