orbit,packings,calls1,calls2,calls3,calls4,candidates1,candidates2,candidates3,candidates4,found
1408,0,0,0,0,0,0,0,0,0,0
1409,3,0,0,0,3,0,0,0,0,0
1410,3,0,0,0,3,0,0,0,0,0
1411,3,0,0,0,3,0,0,0,0,0
1412,4,0,0,0,4,0,0,0,0,0
1413,0,0,0,0,0,0,0,0,0,0
1414,1,0,0,0,1,0,0,0,0,0
1415,2,0,0,0,2,0,0,0,0,0
1416,2,0,0,0,2,0,0,0,0,0
1417,1,0,0,0,1,0,0,0,0,0
1418,1,0,0,0,1,0,0,0,0,0
1419,0,0,0,0,0,0,0,0,0,0
1420,1,0,0,0,1,0,0,0,0,0
1421,1,0,0,0,1,0,0,0,0,0
1422,4,0,0,0,4,0,0,0,0,0
1423,4,0,0,0,4,0,0,0,0,0
1424,1,0,0,0,1,0,0,0,0,0
1425,1,0,0,0,1,0,0,0,0,0
1426,0,0,0,0,0,0,0,0,0,0
1427,4,0,0,0,4,0,0,0,0,0
1428,0,0,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,0,0,0
1430,2,0,0,0,2,0,0,0,0,0
1431,1,0,0,0,1,0,0,0,0,0
1432,0,0,0,0,0,0,0,0,0,0
1433,0,0,0,0,0,0,0,0,0,0
1434,2,0,0,0,2,0,0,0,0,0
1435,0,0,0,0,0,0,0,0,0,0
1436,0,0,0,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0,0,0,0
1438,0,0,0,0,0,0,0,0,0,0
1439,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,0,0,0
1442,0,0,0,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0,0,0
1446,1,0,0,0,1,0,0,0,0,0
1447,0,0,0,0,0,0,0,0,0,0
1448,2,0,0,0,2,0,0,0,0,0
1449,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1451,0,0,0,0,0,0,0,0,0,0
1452,0,0,0,0,0,0,0,0,0,0
1453,0,0,0,0,0,0,0,0,0,0
1454,1,0,0,0,1,0,0,0,0,0
1455,0,0,0,0,0,0,0,0,0,0
1456,0,0,0,0,0,0,0,0,0,0
1457,0,0,0,0,0,0,0,0,0,0
1458,0,0,0,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1461,0,0,0,0,0,0,0,0,0,0
1462,0,0,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0,0,0,0
1464,0,0,0,0,0,0,0,0,0,0
1465,0,0,0,0,0,0,0,0,0,0
1466,0,0,0,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0,0,0,0
1468,0,0,0,0,0,0,0,0,0,0
1469,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1471,0,0,0,0,0,0,0,0,0,0
1472,0,0,0,0,0,0,0,0,0,0
1473,0,0,0,0,0,0,0,0,0,0
1474,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0
1476,0,0,0,0,0,0,0,0,0,0
1477,0,0,0,0,0,0,0,0,0,0
1478,0,0,0,0,0,0,0,0,0,0
1479,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0
1481,0,0,0,0,0,0,0,0,0,0
1482,0,0,0,0,0,0,0,0,0,0
1483,0,0,0,0,0,0,0,0,0,0
1484,0,0,0,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0,0,0,0
1486,0,0,0,0,0,0,0,0,0,0
1487,0,0,0,0,0,0,0,0,0,0
