orbit,packings,unsat,unknown,sat,calls,queries,options,leaves,max_calls,parent_rows
1690,166,166,0,0,157753,157753,157587,0,2336,1998056
1691,567,567,0,0,317805,317804,317238,1,2012,2375381
1692,72,72,0,0,96830,96830,96758,0,3345,1739203
1693,458,458,0,0,314702,314702,314244,0,2231,2355197
1694,65,65,0,0,100535,100535,100470,0,3858,1685627
1695,137,137,0,0,144413,144411,144276,2,2662,2030349
1696,134,134,0,0,142142,142141,142008,1,3373,1758810
1697,26,26,0,0,39611,39610,39585,1,3825,1556554
1698,315,315,0,0,314993,314992,314678,1,2778,2037942
1699,301,301,0,0,267827,267826,267526,1,2412,2112338
1700,75,75,0,0,88433,88433,88358,0,2549,1828177
1701,288,288,0,0,297594,297586,297306,8,2879,2119211
1702,104,104,0,0,141201,141200,141097,1,2886,1712698
1703,560,560,0,0,435576,435575,435016,1,2506,2423996
1704,127,127,0,0,107605,107605,107478,0,1807,1955007
1705,121,121,0,0,124769,124769,124648,0,2430,1873316
1706,499,499,0,0,576162,576158,575663,4,4179,2339076
1707,280,280,0,0,238983,238983,238703,0,2432,2217652
1708,123,123,0,0,102379,102378,102256,1,1941,1958812
1709,72,72,0,0,92605,92603,92533,2,2562,1725190
1710,222,222,0,0,172358,172358,172136,0,2071,1962716
1711,99,99,0,0,93887,93887,93788,0,2495,1814190
1712,234,234,0,0,180178,180178,179944,0,2309,2171691
1713,361,361,0,0,341211,341207,340850,4,3007,2259932
1714,344,344,0,0,331379,331377,331035,2,2979,2247896
1715,238,238,0,0,300610,300609,300372,1,4472,2065649
1716,357,357,0,0,347684,347681,347327,3,3365,2220521
1717,90,90,0,0,130341,130338,130251,3,3077,1669796
1718,129,129,0,0,119995,119994,119866,1,2334,1906131
1719,300,300,0,0,241809,241808,241509,1,2680,2212750
1720,300,300,0,0,245566,245565,245266,1,3111,2224077
1721,346,346,0,0,262922,262920,262576,2,2461,2230991
1722,162,162,0,0,130912,130912,130750,0,2394,2024709
1723,115,115,0,0,172381,172379,172266,2,3748,1711219
1724,332,332,0,0,285532,285529,285200,3,2322,2295936
1725,252,252,0,0,251829,251827,251577,2,2926,2102608
1726,658,658,0,0,494320,494316,493662,4,3032,2510905
1727,153,153,0,0,132494,132493,132341,1,1732,2020731
1728,75,75,0,0,71493,71493,71418,0,1760,1912653
1729,119,119,0,0,159127,159126,159008,1,3262,1869893
1730,194,194,0,0,163317,163317,163123,0,2069,2076819
1731,186,186,0,0,176217,176216,176031,1,2577,1906757
1732,261,261,0,0,198352,198352,198091,0,2033,2102420
1733,343,343,0,0,212182,212182,211839,0,1816,2224066
1734,115,115,0,0,130414,130413,130299,1,2429,1843464
1735,258,258,0,0,254041,254038,253783,3,2612,2049284
1736,236,236,0,0,308316,308312,308080,4,3990,2082582
1737,376,376,0,0,313296,313293,312920,3,3274,2091885
1738,82,82,0,0,109822,109819,109740,3,2438,1726865
1739,509,509,0,0,399787,399784,399278,3,2684,2358754
1740,194,194,0,0,137921,137920,137727,1,2270,1988261
1741,86,86,0,0,100527,100526,100441,1,2772,1832552
1742,93,93,0,0,112153,112153,112060,0,2684,1853817
1743,119,119,0,0,130796,130796,130677,0,2894,1745313
1744,153,153,0,0,199582,199579,199429,3,4803,1956353
1745,131,131,0,0,135185,135185,135054,0,2508,1931285
1746,222,222,0,0,210928,210927,210706,1,3180,1981845
1747,648,648,0,0,538341,538338,537693,3,2543,2558093
1748,344,344,0,0,350493,350491,350149,2,3020,2245825
1749,363,363,0,0,343768,343765,343405,3,3193,2209106
1750,486,486,0,0,457341,457336,456855,5,3326,2284325
1751,121,121,0,0,102338,102338,102217,0,2052,1930254
1752,129,129,0,0,122718,122718,122589,0,1978,1929263
1753,170,170,0,0,154398,154397,154228,1,2432,2047604
1754,182,182,0,0,138546,138545,138364,1,2085,2123546
1755,198,198,0,0,154639,154639,154441,0,1937,1959401
1756,434,434,0,0,368952,368949,368518,3,2694,2321745
1757,107,107,0,0,140721,140720,140614,1,3281,1717116
1758,479,479,0,0,335470,335469,334991,1,2743,2379025
1759,222,222,0,0,215216,215214,214994,2,2785,1987298
