G8_CORNERS degree=5 profile_size=17
TARGET 05005050 profile=749,1843,5927,6035,9024,14565,19170,20487,22786,23020,25363,26440,29539,33842,34170,35322,40176
TARGET 05005055 profile=29,1843,6033,8809,9072,12568,17746,18201,19269,22875,24490,25202,29539,33666,35058,35161,35404
TARGET 05005500 profile=28,2116,3097,6045,6921,9000,12591,19168,19672,19924,20484,24960,25058,27286,30247,32154,39481
TARGET 05005505 profile=13,5963,7503,9001,9008,12588,14766,18490,18576,19195,24963,25056,26436,29146,30419,35761,38882
TARGET 05005550 profile=994,6035,7023,12696,14568,18646,20016,22777,25207,26436,27275,30247,30385,33183,33696,35320,40176
TARGET 05005555 profile=25,272,486,6033,9008,12070,12165,18642,19965,20483,22771,26440,28842,29130,29521,33738,38640
TARGET 05050000 profile=29,2116,5987,8868,12574,14579,17706,19270,20136,23048,23529,25324,33842,36371,36456,38778,39097
TARGET 05050005 profile=27,1896,6041,7072,7632,8805,12201,14407,17874,22875,23048,27276,30405,34194,34657,38221,40201
TARGET 05050050 profile=1842,5997,6035,8868,14579,19266,19630,22890,23643,23793,25207,25324,29659,30721,32049,38171,38856
TARGET 05050055 profile=26,944,2953,5919,7527,7680,19072,19914,22875,22914,26446,27276,29407,29686,33874,35287,38171
TARGET 05050500 profile=28,748,948,7752,14832,18345,18576,20016,23002,24240,26085,32316,32344,33600,35339,38169,39106
TARGET 05050505 profile=1882,6923,7534,8868,12180,12183,14586,18576,23048,23520,23795,25206,32051,34576,36424,38880,38882
TARGET 05050550 profile=937,2884,5997,6780,7681,12568,14586,14761,18549,20450,22794,22795,25237,29539,29743,30121,38736
TARGET 05050555 profile=24,7232,12170,18345,18576,18640,19072,22875,23040,23232,26446,27242,30241,34441,34872,35287,36450
TARGET 05055000 profile=3922,5925,6804,7558,8809,9072,12598,12841,14768,19960,22914,25098,25201,27242,29530,30419,40201
TARGET 05055005 profile=29,5921,7238,8819,14555,17962,19416,19418,20198,23616,23795,24565,25206,27242,27286,32051,35160
TARGET 05055050 profile=278,1812,6039,11878,12549,19264,19630,20458,23644,24240,25207,27276,30246,36430,36636,39642,40200
TARGET 05055055 profile=2,2116,5993,6993,8817,20487,22890,22915,23682,23823,25206,25418,26073,32139,34176,35287,36474
