G8_CORNERS degree=4 profile_size=14
TARGET 04044400 profile=884,2887,6045,6780,7043,7232,12544,12588,23795,24973,36675,39480,40201,40248
TARGET 04044404 profile=1004,3600,6041,7531,12153,17874,19966,20509,24963,25200,26104,28843,29154,32282
TARGET 04044440 profile=25,6045,7752,11871,12229,22890,23738,24541,25236,27276,29746,30246,32890,35319
TARGET 04044444 profile=152,193,746,5913,12546,14051,19840,22755,24336,26097,30121,34186,35596,39090
TARGET 04400000 profile=739,5921,5996,19024,19965,23074,27280,28992,30419,33841,35325,38130,38171,38898
TARGET 04400004 profile=484,3000,5997,6683,12112,12274,19155,19624,28272,34186,35136,35161,35315,35596
TARGET 04400040 profile=205,5987,8808,12164,12696,18646,19296,20132,20458,23052,23376,33844,39624,40200
TARGET 04400044 profile=205,874,7004,11826,18203,19416,19672,24240,24336,25203,29722,32316,33610,35404
TARGET 04400400 profile=18,22,17754,17848,19030,19955,23082,25273,26087,32316,33145,35596,36450,39097
TARGET 04400404 profile=1520,5925,8805,18550,19882,20324,23530,25203,26079,30594,32370,34562,36369,38905
TARGET 04400440 profile=910,7189,7632,11830,14553,18546,19270,20449,23644,25237,26436,35284,36600,40176
TARGET 04400444 profile=9,8644,14577,18203,19669,19890,20463,23040,23646,25202,29402,31984,34176,36636
TARGET 04404000 profile=5,481,5997,8809,11878,18357,19275,23020,24249,25002,26440,29545,35325,38890
TARGET 04404004 profile=12,1004,2880,6275,7041,7914,17728,19269,24963,30406,32051,35136,36352,38881
TARGET 04404040 profile=204,1843,6838,7205,9072,14820,19024,19170,23736,26075,27241,30393,36636,40200
TARGET 04404044 profile=205,725,1320,5962,8793,17850,18645,19170,24541,25200,27286,32383,33609,33696
TARGET 04404400 profile=193,940,6780,11829,12203,17970,24579,25056,25202,26087,30367,33666,35596,39106
TARGET 04404404 profile=13,7238,9042,11013,11824,14136,17962,19965,22933,23529,25236,28842,38881,39480
TARGET 04404440 profile=5925,6780,8808,9012,12696,13991,17754,18698,24541,25205,27241,33153,35326,39480
TARGET 04404444 profile=720,1813,6994,7023,12284,14565,17737,18328,23529,28800,29400,29754,33822,35287
TARGET 04440000 profile=278,481,1843,6804,8809,12190,14954,19914,19915,26075,34186,36600,38736,38880
TARGET 04440004 profile=1525,6073,11025,12696,17874,19269,23232,24456,25203,30406,32032,35315,36307,38882
