G8_CORNERS degree=6 profile_size=20
TARGET 06000666 profile=181,7500,8817,12549,18203,18347,19266,20467,23074,25237,26081,29146,30360,33155,34562,34562,34562,38640,38640,38640
TARGET 06006000 profile=180,200,3007,5997,8826,12598,12598,12598,12598,19194,19672,20509,26472,27276,33610,33842,35322,36675,38899,39096
TARGET 06006006 profile=193,278,487,2886,7020,11081,12070,12070,14569,17754,22914,22914,25203,27286,33155,34170,35596,36690,39097,39106
TARGET 06006060 profile=25,200,11878,11987,12165,19170,20458,23034,23065,26440,27096,29530,32104,33842,33842,33842,36349,36371,36602,36636
TARGET 06006066 profile=193,748,2954,8868,9000,9008,9072,11871,12070,12070,19296,19296,19296,22875,23640,23640,27242,29746,34170,36371
TARGET 06006600 profile=994,5963,6832,7010,9072,12912,14569,20016,20016,20016,20016,20509,23041,23376,26440,27286,30247,32136,33155,38899
TARGET 06006606 profile=27,487,949,2116,5963,5963,6045,7503,12109,20463,22755,23002,23529,26440,27286,29407,33816,33816,35320,38890
TARGET 06006660 profile=22,6035,12848,14568,17970,18604,19264,22786,23376,23646,26472,26987,28802,28802,30246,30246,32049,36352,36675,38890
TARGET 06006666 profile=0,949,1327,2916,5963,6921,7504,8868,12588,12591,19170,19170,20463,23376,28802,29401,29401,29746,33183,36690
TARGET 06060000 profile=278,739,5927,7681,12598,12598,12598,19210,19873,19890,23041,25237,26446,30754,34194,35287,36371,36459,39097,39106
TARGET 06060006 profile=27,27,27,7752,8868,12574,19266,19269,19416,19882,20509,26352,27280,27312,30745,32032,35136,35280,36430,38643
TARGET 06060060 profile=739,906,994,5987,7692,8808,14579,18203,18347,18604,18696,20198,22888,23643,33842,34186,35287,38856,38856,38856
TARGET 06060066 profile=0,205,278,484,7238,7688,12201,12568,12568,12568,18203,18645,25362,32356,34441,34447,36430,38640,38682,38856
TARGET 06060600 profile=204,2884,6047,6047,11079,12180,12183,14406,20016,20016,20450,20509,23520,28843,29146,30406,36450,36459,38643,40176
TARGET 06060606 profile=16,936,7144,7232,8868,12574,12574,12574,12574,19960,23232,23823,25273,26243,28843,29400,35337,38169,38882,39106
TARGET 06060660 profile=25,25,25,205,5972,7232,12591,14832,18203,18604,19624,22755,22795,27280,29746,30400,34176,38856,38856,38856
TARGET 06060666 profile=484,1882,5987,7528,12544,12544,17850,18203,20467,23232,25362,26243,26352,27242,29154,30458,35136,35286,35286,36459
TARGET 06066000 profile=278,1812,6041,7238,9001,11872,12155,14579,14586,17962,17995,20509,23034,25201,27096,29539,30721,32154,40201,40201
