G8_CORNERS degree=3 profile_size=11
TARGET 30003003 profile=949,5220,8868,9067,11079,22900,23021,26682,32154,33610,35785
TARGET 30003030 profile=732,3007,9008,11829,11987,22942,29746,30746,32137,35339,38131
TARGET 30003033 profile=994,6994,9012,11079,18336,19181,20489,26440,30763,38905,40080
TARGET 30003300 profile=2116,6994,12874,18347,22208,22937,23065,28800,28826,34586,36676
TARGET 30003303 profile=1840,7010,7030,12284,26412,26817,31987,32136,35406,38245,39487
TARGET 30003330 profile=1627,3005,3043,7510,7552,12840,22786,30744,32139,33666,34718
TARGET 30003333 profile=1816,3043,3777,6033,6921,19181,20388,23586,26817,36675,39626
TARGET 30030000 profile=739,3006,14586,19962,20501,26819,32029,33600,34177,36369,37899
TARGET 30030003 profile=1394,2118,6811,8646,11732,20463,26097,32032,34177,38171,38858
TARGET 30030030 profile=906,2884,11086,11466,20487,21183,22891,29539,30754,36349,39930
TARGET 30030033 profile=7233,7528,8804,11848,14768,18802,25324,30759,34177,36458,38238
TARGET 30030300 profile=739,936,10966,12549,18203,20598,22765,34657,38169,39115,39703
TARGET 30030303 profile=948,11073,26793,26817,30402,32051,32887,35058,36057,38169,38235
TARGET 30030330 profile=738,7503,7688,14768,18620,19901,20346,26985,29737,32040,34657
TARGET 30030333 profile=7260,7528,10104,12187,14760,18578,26407,27273,33153,34663,38221
TARGET 30033000 profile=191,747,7692,12918,14578,17953,18345,23021,30744,32139,40201
TARGET 30033003 profile=7531,8818,14407,18190,20495,24250,25483,26817,30395,32352,35760
TARGET 30033030 profile=756,2887,6999,12154,12274,19094,23021,23682,29136,36371,40207
TARGET 30033033 profile=874,7692,9008,9790,11080,12132,18544,20489,32130,34447,35760
TARGET 30033300 profile=906,7555,12848,17893,23021,23376,26402,28826,30364,32316,36537
TARGET 30033303 profile=3000,3006,6033,7681,14432,19013,19672,24221,29130,36369,39487
TARGET 30033330 profile=12154,14406,18696,19027,20467,20546,25327,26394,29132,30360,36427
TARGET 30033333 profile=744,11080,14437,17731,18490,23667,24556,26097,30754,32040,36459
TARGET 30300000 profile=906,1324,3042,6994,7069,20116,23002,26827,32352,33606,40248
TARGET 30300003 profile=205,3042,5924,7020,11012,19298,25018,30406,32139,35060,38235
TARGET 30300030 profile=480,961,1843,7188,9820,17848,19269,27275,32049,38640,39702
TARGET 30300033 profile=722,7004,11012,18646,19269,20564,23644,29136,30594,33198,35449
TARGET 30300300 profile=193,1879,11034,14760,19891,20836,26799,26987,33153,36459,39480
TARGET 30300303 profile=2883,10686,11002,11012,18640,23168,23529,32139,33077,35320,39486
TARGET 30300330 profile=3005,6957,7189,11826,14586,19180,20338,20463,26616,29137,30456
TARGET 30300333 profile=1813,1882,8641,9000,10953,18592,19468,23586,27275,38232,38780
TARGET 30303000 profile=1843,7027,11949,12284,14564,24246,25101,30361,33999,35325,38890
TARGET 30303003 profile=1812,9001,12164,14555,19024,24270,24489,25322,32861,34662,35786
TARGET 30303030 profile=200,204,3005,10966,11770,19025,23035,27286,30120,33741,36456
TARGET 30303033 profile=152,2001,7680,11002,14628,19813,22891,29675,30744,32130,38911
TARGET 30303300 profile=3385,7010,8647,10966,12840,12852,17971,19979,30120,33609,35597
TARGET 30303303 profile=1323,2916,6814,14424,18549,18659,20520,25002,30367,31987,33740
TARGET 30303330 profile=721,1880,9008,10955,11858,19669,19966,20562,30169,32130,34656
TARGET 30303333 profile=152,720,1882,2053,7147,11919,23682,27275,32107,32140,33698
TARGET 30330000 profile=5927,13125,23082,23831,26805,30405,30750,32029,35320,35339,36371
TARGET 30330003 profile=723,2880,7232,12180,19915,26793,30521,32355,34662,36427,36692
TARGET 30330030 profile=3133,11079,11826,14586,17775,20117,20207,27264,30126,30721,36456
TARGET 30330033 profile=486,3480,6811,12154,13642,14569,17731,19397,20450,33865,34176
TARGET 30330300 profile=1842,1900,3004,7027,7726,12170,14553,19900,23526,32142,39487
TARGET 30330303 profile=891,7232,10296,11026,12852,18550,24380,24456,26401,33020,36304
TARGET 30330330 profile=874,7692,14400,17981,18646,19069,20193,25685,26805,27280,39624
TARGET 30330333 profile=3003,3504,5926,6923,7232,19873,23586,23817,26985,34586,34593
TARGET 30333000 profile=884,5926,7691,11086,19915,25714,27096,29531,30744,32139,36307
TARGET 30333003 profile=6811,10960,11858,20072,20283,23823,24250,25320,34177,35596,39096
TARGET 30333030 profile=906,3922,7555,8640,12841,19900,23643,24307,26795,30360,39155
TARGET 30333033 profile=5040,9156,10960,12696,17861,18802,19181,23822,27240,29538,36456
TARGET 30333300 profile=6790,6838,7688,8241,10245,12848,20324,28842,32029,35786,39702
TARGET 30333303 profile=1828,3000,6994,7241,11851,14577,17962,24556,29136,29378,30402
TARGET 30333330 profile=3001,3162,6790,8809,11073,17728,20562,24541,32015,39600,39702
TARGET 30333333 profile=720,1850,7688,12852,14554,19416,20465,23738,26433,26987,34584
TARGET 33000000 profile=278,3007,12229,12232,19965,25208,31321,34194,36349,36603,38221
TARGET 33000003 profile=2886,7043,8644,12574,19323,23041,27276,32051,35057,35779,36348
TARGET 33000030 profile=745,994,5973,17194,19235,22777,29746,30763,33192,35327,40098
TARGET 33000033 profile=2883,9098,12109,14407,18642,20192,22777,30754,33600,34186,36178
TARGET 33000300 profile=18,8647,11036,20130,20458,23490,26478,27279,32355,35320,35857
TARGET 33000303 profile=102,2883,8646,11002,18330,20463,22914,32028,38235,39106,39114
